_Headword,English,Type,Class,Conjugation
doicheallaigh,balk at,v2a,class9,2
doiciméadaigh,document,v2a,class9,2
dóigh,bum,v1d,class5,1
doilbh,form,v1b,class2,1
doiléirigh,darken,v2b,class10,2
doimhnigh,deepen,v2b,class10,2
doir,bull,v1b,class2,1
doirt,pour,v1b,class2,1
dol,loop,v1a,class1,1
domáil,fist,v1c,class3,1
domhainreoigh,deep-freeze,v1d,class5,1
domhandaigh,globalize,v2a,class9,2
domheanmnaigh,dispirit,v2a,class9,2
donaigh,aggravate,v2a,class9,2
donnaigh,brown,v2a,class9,2
dópáil,dope,v1c,class3,1
dorchaigh,darken,v2a,class9,2
dord,hum,v1a,class1,1
draenáil,drain,v1c,class3,1
drámaigh,dramatize,v2a,class9,2
dramhail,trample,v2c,class11,2
drann,snarl,v1a,class1,1
drantaigh,snarl,v2a,class9,2
draoibeáil,cover with mud,v1c,class3,1
dreach,delineate,v1a,class1,1
dréachtaigh,draft,v2a,class9,2
dreap,climb,v1a,class1,1
dreasaigh,incite,v2a,class9,2
dreideáil,dredge,v1c,class3,1
dréim,climb,v1b,class2,1
dreoigh,decay,v1d,class5,1
dríodraigh,sediment,v2a,class9,2
driog,distill,v1a,class1,1
drithligh,spark,v2b,class10,2
droimscríobh,endorse,v1a,class1,1
droinsigh,drench,v2b,class10,2
drugáil,drug,v1c,class3,1
druibleáil,dribble,v1c,class3,1
druid,close,v1b,class2,1
druileáil,drill,v1c,class3,1
drundáil,crab,v1c,class3,1
dtí,come,v5,defective,5
dual,twine,v1a,class1,1
dubáil,dub,v1c,class3,1
dúbail,double,v2c,class11,2
dubhaigh,blacken,v2a,class9,2
dúbláil,distill a second time; duplicate,v1c,class3,1
duchtaigh,duct,v2a,class9,2
dúdhiúltaigh,ostracize,v2a,class9,2
dúghabh,obsess,v1a,class1,1
duilligh,foliate,v2b,class10,2
dúisigh,wake,v2b,class10,2
dúlaigh,desire,v2a,class9,2
dúloisc,char,v1b,class2,1
dúmhál,blackmail,v1a,class1,1
dumpáii,dump,v1c,class3,1
dún,close,v1a,class1,1
dúnmharaigh,murder,v2a,class9,2
durdáil,coo,v1c,class3,1
dúshaothraigh,exploit,v2a,class9,2
dustáil,dust,v1c,class3,1
dúthum,plunge,v1a,class1,1
éabannaigh,ebonize,v2a,class9,2
éabhlóidigh,evolve,v2b,class10,2
eachtarshuigh,extrapolate,v1h,class8,1
eachtraigh,joumey; narrate,v2a,class9,2
éadanchóirigh,face up,v2b,class10,2
éadlúthaigh,rarefy,v2a,class9,2
eadóirsigh,"naturalize ,",v2b,class10,2
eadráil,tween,v1c,class3,1
eadránaigh,separate,v2a,class9,2
éadromaigh,lighten,v2a,class9,2
éaduchtaigh,educe,v2a,class9,2
éag,die,v1a,class1,1
éagaoin,moan,v1b,class2,1
éagnaigh,moan,v2a,class9,2
éagobhsaigh,destabilize,v2a,class9,2
éagóirigh,wrong,v2b,class10,2
éagothromaigh,unbalance,v2a,class9,2
eagraigh,arrange,v2a,class9,2
éagsúlaigh,vary,v2a,class9,2
éagumasaigh,incapacitate,v2a,class9,2
éalaigh,escape,v2a,class9,2
ealtaigh,flock,v2a,class9,2
eamhnaigh,double,v2a,class9,2
eangaigh,indent,v2a,class9,2
éar,refuse,v1a,class1,1
earb,trust,v1a,class1,1
earcaigh,recruit,v2a,class9,2
earrachaigh,vernalize,v2a,class9,2
easáitigh,displace,v2b,class10,2
easaontaigh,disagree,v2a,class9,2
easbhniigh,extrude,v1d,class5,1
éascaigh,make easy,v2a,class9,2
eascainigh,curse,v2b,class10,2
easghásaigh,offgas,v2a,class9,2
easghlan,scavenge,v1a,class1,1
easlánaigh,become sick,v2a,class9,2
easmail,reproach,v1b,class2,1
easonóraigh,dishonor,v2a,class9,2
easpórtáil,export,v1c,class3,1
easraigh,litter,v2a,class9,2
eastuaslaig,exsolve,v1bx,class4,1
éidigh,dress,v2b,class10,2
éigh,scream,v1e,class6,1
éighníomhaigh,passivate,v2a,class9,2
éigiontaigh,acquit,v2a,class9,2
éignigh,force,v2b,class10,2
éiligh,claim,v2b,class10,2
éilligh,corrupt,v2b,class10,2
éilligh,corrupt,v2b,class10,2
éimigh,refuse,v2b,class10,2
éimigh,refuse,v2b,class10,2
éinirtigh,enfeeble,v2b,class10,2
éinirtigh,enfeeble,v2b,class10,2
éirigh,rise,v2b,class10,2
éirigh,rise,v2b,class10,2
eis,exist,v1b,class2,1
eis,exist,v1b,class2,1
eisc,excise,v1b,class2,1
eisc,excise,v1b,class2,1
eiscrigh,ridge,v2b,class10,2
eiscrigh,ridge,v2b,class10,2
eiscríobh,escribe,v1a,class1,1
eiscríobh,escribe,v1a,class1,1
eiseachaid,extradite,v1b,class2,1
eiseachaid,extradite,v1b,class2,1
eiseamláirigh,exemplify,v2b,class10,2
eiseamláirigh,exemplify,v2b,class10,2
eiséat,escheat,v1a,class1,1
eiséat,escheat,v1a,class1,1
eisfhaighnigh,evaginate,v2b,class10,2
eisfhaighnigh,evaginate,v2b,class10,2
eisfhear,excrete,v1a,class1,1
eisfhear,excrete,v1a,class1,1
eisiacht,eject,v1a,class1,1
eisiacht,eject,v1a,class1,1
eisiaigh,exclude,v1d,class5,1
eisiaigh,exclude,v1d,class5,1
eisigh,issue,v2b,class10,2
eisigh,issue,v2b,class10,2
eisil,emanate,v1b,class2,1
eisil,emanate,v1b,class2,1
eisíoc,disburse,v1a,class1,1
eisíoc,disburse,v1a,class1,1
eisionnail,elute,v1fx,class15,1
eisleath,effuse,v1a,class1,1
eisleath,effuse,v1a,class1,1
eislig,egest,v1b,class2,1
eislig,egest,v1b,class2,1
eispéirigh,experience,v2b,class10,2
eispéirigh,experience,v2b,class10,2
eisreachtaigh,proscribe,v2a,class9,2
eisreachtaigh,proscribe,v2a,class9,2
eisréimnigh,diverge,v2b,class10,2
eisréimnigh,diverge,v2b,class10,2
eisribigh,epilate,v2b,class10,2
eisribigh,epilate,v2b,class10,2
éist,listen,v1b,class2,1
éist,listen,v1b,class2,1
eistearaigh,esterify,v2a,class9,2
