_Headword,English,Type,Class,Conjugation
sampláil,sample,v1c,class3,1
sann,assign,v1a,class1,1
santaigh,covet,v2a,class9,2
saobh,slant,v1a,class1,1
saoirsigh,work; cheapen,v2b,class10,2
saolaigh,deliver,v2a,class9,2
saor,free,v1a,class1,1
saor-rothlaigh,freewheel,v2a,class9,2
saorghlan,purge,v1a,class1,1
saotharchruaigh,work-harden,v1d,class5,1
saothraigh,labor,v2a,class9,2
sáraigh,violate,v2a,class9,2
sársháithigh,supersaturate,v2b,class10,2
sárthadhaill,osculate,v2c,class11,2
sásaigh,satisfy,v2a,class9,2
satail,tread,v2c,class11,2
scag,strain,v1a,class1,1
scagdhealaigh,dialyze,v2a,class9,2
scagthástáil,screen,v1c,class3,1
scáil-Iínigh,ghost,v2b,class10,2
scáiligh,shade,v2b,class10,2
scáin,crack,v1b,class2,1
scaip,scatter,v1b,class2,1
scaird,squirt,v1b,class2,1
scairigh,layer,v2b,class10,2
scairt,shout,v1b,class2,1
scal,flash,v1a,class1,1
scálaigh,scale,v2a,class9,2
scalbhaigh,possess,v2a,class9,2
scall,scald,v1a,class1,1
scamallaigh,cloud,v2a,class9,2
scamh,peel,v1a,class1,1
scan,scan,v1a,class1,1
scannalaigh,scandalize,v2a,class9,2
scannánaigh,film,v2a,class9,2
scanraigh,rout,v2a,class9,2
scaob,scoop,v1a,class1,1
scaoil,loosen,v1b,class2,1
scar,part,v1a,class1,1
scarbhaigh,scarf,v2a,class9,2
scarbháil,crust,v1c,class3,1
scarshiúntaigh,splice,v2a,class9,2
scartáil,demolish,v1c,class3,1
scátáil,skate,v1c,class3,1
scáthaigh,shade,v2a,class9,2
scáthánaigh,mirror,v2a,class9,2
scáthchcil,screen,v1b,class2,1
scáthlínigh,shade,v2b,class10,2
scead,blaze,v1a,class1,1
sceadáil,fragment,v1c,class3,1
scéalaigh,relate,v2a,class9,2
scealp,splinter,v1a,class1,1
sceamáil,scam,v1c,class3,1
sceamh,yelp,v1a,class1,1
scean,knife,v1a,class1,1
sceathraigh,vomit,v2a,class9,2
sceidealaigh,schedule,v2a,class9,2
sceimhligh,terrify,v2b,class10,2
sceith,spew,v1b,class2,1
sceitseáil,sketch,v1c,class3,1
sceoigh,wither,v1d,class5,1
sciáil,ski,v1c,class3,1
sciamhaigh,beautify,v2a,class9,2
sciath,screen,v1a,class1,1
sciathaigh,screen,v2a,class9,2
scigléirigh,caricature,v2b,class10,2
scil,shell,v1b,class2,1
scimeáil,skim,v1c,class3,1
scimpeáil,skimp,v1c,class3,1
scinceáil,decant,v1c,class3,1
scinn,start,v1b,class2,1
sciob,snatch,v1a,class1,1
scioll,scold,v1a,class1,1
sciomáil,skim,v1c,class3,1
sciomair,scour,v2c,class11,2
sciorr,slip,v1a,class1,1
sciortáil,skirt,v1c,class3,1
sciot,snip,v1a,class1,1
scithigh,skin,v2b,class10,2
sciUig,shell,v1b,class2,1
scuab,sweep,v1a,class1,1
scuch,remove,v1a,class1,1
scuideáil,scupper,v1c,class3,1
scuitseáil,scutch,v1c,class3,1
sculáil,scull,v1c,class3,1
scúpáil,scoop,v1c,class3,1
scuparáil,scupper,v1c,class3,1
seach-chuir,offset,v1b,class2,1
seachaid,deliver,v1bx,class4,1
seachain,avoid,v2c,class11,2
seachfhoinsigh,outsource,v2b,class10,2
seachluigh,offlap,v1h,class8,1
seachródaigh,shunt,v2a,class9,2
seachthreoraigh,bypass,v2a,class9,2
seachtraigh,exteriorize,v2a,class9,2
seachvótáil,vote by proxy,v1c,class3,1
sead,blow,v1a,class1,1
seadaigh,settle,v2a,class9,2
seadánaigh,parasitize,v2a,class9,2
seaimféaráil,chamfer,v1c,class3,1
séalaigh,seal,v2a,class9,2
seamaigh,rivet,v2a,class9,2
séamaigh,seam,v2a,class9,2
séamáil,rabbet,v1c,class3,1
seamhraigh,hurry,v2a,class9,2
séan,sign; deny,v1a,class1,1
seangaigh,slim,v2a,class9,2
seansáil,chance,v1c,class3,1
seapán,japan,v1a,class1,1
searbhaigh,sour,v2a,class9,2
searbháil,interlock,v1c,class3,1
searg,waste,v1a,class1,1
searr,stretch,v1a,class1,1
seas,stand,v1a,class1,1
seiceáil,check,v1c,class3,1
seicheamhaigh,sequence,v2a,class9,2
séid,blow,v1b,class2,1
séidtriomaigh,puff-dry,v2a,class9,2
seiftigh,devise,v2b,class10,2
seilfeáil,shelve,v1c,class3,1
seilg,hunt,v1b,class2,1
seiligh,spit,v2b,class10,2
séimhigh,thin,v2b,class10,2
seinn,play,v1b,class2,1
seirbheáil,serve,v1c,class3,1
seirbhísigh,service,v2b,class10,2
seireardaigh,sherardize,v2a,class9,2
seol,sail,v1a,class1,1
shanghai-áil,shanghai,v1c,class3,1
siabhránaigh,hallucinate,v2a,class9,2
siar-rácáil,rake back,v1c,class3,1
siarchoinnigh,withhold,v2b,class10,2
siardhátaigh,backdate,v2a,class9,2
sil,drip,v1b,class2,1
síl,think,v1b,class2,1
sil-leag,deposit,v1a,class1,1
silicigh,silicify,v2b,class10,2
sill,look,v1b,class2,1
siltriomaigh,drip-dry,v2a,class9,2
simíáil,shimmy,v1c,class3,1
simpligh,simplify,v2b,class10,2
sín,stretch,v1b,class2,1
sincigh,zincify,v2b,class10,2
sindeacáitigh,syndicate,v2b,class10,2
sínigh,sign,v2b,class10,2
sintéisigh,synthesize,v2b,class10,2
siob,blow,v1a,class1,1
sioc,freeze,v1a,class1,1
siocreoigh,freeze-dry,v1d,class5,1
siofón,siphon,v1a,class1,1
síog,streak,v1a,class1,1
síogaigh,fail,v2a,class9,2
síol,seed,v1a,class1,1
siolaigh,seed,v2a,class9,2
síolchuir,sow,v1b,class2,1
siolp,suck,v1a,class1,1
síolraigh,breed,v2a,class9,2
siolt,silt,v1a,class1,1
síolteagasc,indoctrinate,v1a,class1,1
siombalaigh,symbolize,v2a,class9,2
sionapsaigh,synapse,v2a,class9,2
sioncóipigh,syncopate,v2b,class10,2
sioncrónaigh,synchronize,v2a,class9,2
sionsaigh,delay,v2a,class9,2
síoraigh,perpetuate,v2a,class9,2
siorc,jerk,v1a,class1,1
siortaigh,rummage,v2a,class9,2
siortáil,mistreat,v1c,class3,1
sios,hiss,v1a,class1,1
siosc,trim; fizz,v1a,class1,1
siostalaigh,hackle,v2a,class9,2
síothaigh,pacify,v2a,class9,2
síothlaigh,strain,v2a,class9,2
sírigh,shire,v2b,class10,2
siséal,chisel,v1a,class1,1
siúcraigh,sugar,v2a,class9,2
siúil,walk,v1bx,class4,1
siúntáil,joint,v1c,class3,1
siútáil,shoot,v1c,class3,1
slabhraigh,chain,v2a,class9,2
slac,bat,v1a,class1,1
slachtaigh,tidy,v2a,class9,2
slad,plunder,v1a,class1,1
sláintigh,sanitize,v2b,class10,2
slaiseáil,slash,v1c,class3,1
slám,tease,v1a,class1,1
slámáil,pluck in handfuls,v1c,class3,1
slánaigh,save,v2a,class9,2
slaod,mow down,v1a,class1,1
slaon,tease,v1a,class1,1
slatáil,beat with switch,v1c,class3,1
sleabhaic,droop,v1f,class14,1
sléacht,kneel,v1a,class1,1
sleáigh,spear,v1d,class5,1
sleamhnaigh,slide,v2a,class9,2
sléiteáil,beat to death,v1c,class3,1
slim-mhaisigh,finish,v2b,class10,2
sliob,rub,v1a,class1,1
slíoc,sleek,v1a,class1,1
sliochtaigh,lick clean,v2a,class9,2
sliom,smooth,v1a,class1,1
sliop,snatch,v1a,class1,1
slis,beetle,v1b,class2,1
slisnigh,chip,v2b,class10,2
slócht,hoarsen,v1a,class1,1
slog,swallow,v1a,class1,1
slóg,mobilize,v1a,class1,1
sloinn,express,v1b,class2,1
sluaisteáil,shovel,v1c,class3,1
sluaistrigh,earth,v2b,class10,2
smachtaigh,control,v2a,class9,2
smailc,gobble; smack,v1b,class2,1
smálaigh,tamish,v2a,class9,2
smaoinigh,think,v2b,class10,2
smeach,flick,v1a,class1,1
smeadráil,smear,v1c,class3,1
smear,smear,v1a,class1,1
sméid,wink,v1b,class2,1
smid,dress,v1b,class2,1
smíocht,smite,v1a,class1,1
smiog,pass out,v1a,class1,1
smiot,hit,v1a,class1,1
smíst,pound,v1b,class2,1
smísteáil,smash,v1c,class3,1
smocáil,smock,v1c,class3,1
smol,blight,v1a,class1,1
smúdáil,iron,v1c,class3,1
smuigleáil,smuggle,v1c,class3,1
smúitigh,becloud,v2b,class10,2
smúr,sniff,v1a,class1,1
smut,truncate,v1a,class1,1
snaidhm,knot,v1b,class2,1
snáith,sip,v1b,class2,1
snáithigh,grain,v2b,class10,2
snáithlíonraigh,craze,v2a,class9,2
snamh,peel,v1a,class1,1
snámh,swim,v1a,class1,1
snap,snap,v1a,class1,1
snasaigh,polish,v2a,class9,2
snigeáil,die,v1c,class3,1
snigh,pour,v1h,class8,1
sniog,milk dry,v1a,class1,1
sníomh,spin,v1a,class1,1
snoigh,carve,v1h,class8,1
socht,become silent,v1a,class1,1
socraigh,settle,v2a,class9,2
sodarchas,shuttle,v1a,class1,1
soifnigh,snivel,v2b,class10,2
sóigh,mutate,v1d,class5,1
soiléirigh,clarify,v2b,class10,2
soilsigh,shine,v2b,class10,2
soinnigh,press,v2b,class10,2
sóinseáil,change,v1c,class3,1
soiprigh,nestle,v2b,class10,2
soirbhigh,make easy,v2b,class10,2
soiscéalaigh,preach,v2a,class9,2
sóisialaigh,socialize,v2a,class9,2
soithiochaigh,vascularize,v2a,class9,2
soladaigh,solidify,v2a,class9,2
sólásaigh,console,v2a,class9,2
soláthair,gather,v2c,class11,2
sólfáigh,sol-fa,v1d,class5,1
sollúnaigh,solemnize,v2a,class9,2
soncáil,thrust,v1c,class3,1
sondáil,sound,v1c,class3,1
sonraigh,specify,v2a,class9,2
sonraisc,invoice,v1b,class2,1
sop,light with straw,v1a,class1,1
sorchaigh,light,v2a,class9,2
sórtáil,sort,v1c,class3,1
sótáil,sauté,v1c,class3,1
spadhar,exasperate,v1fx,class15,1
spágáil,shamble,v1c,class3,1
spaill,rebuke,v1b,class2,1
spaim,flght,v1b,class2,1
spall,scorch,v1a,class1,1
spallaigh,gallet,v2a,class9,2
spalp,burst forth,v1a,class1,1
spamáil,spam,v1c,class3,1
spáráil,spare,v1c,class3,1
sparr,secure,v1a,class1,1
spásáil,space,v1c,class3,1
spástointeáil,spaceshuttle,v1c,class3,1
speach,kick,v1a,class1,1
spéacláirigh,speculate,v2b,class10,2
speal,mow,v1a,class1,1
spear,spear,v1a,class1,1
speáráil,spar,v1c,class3,1
spéiceáil,knock stiff,v1c,class3,1
speir,hough,v1b,class2,1
speisialaigh,specialize,v2a,class9,2
sph'on,spline,v1a,class1,1
spíceáil,spike,v1c,class3,1
spídigh,revile,v2b,class10,2
spíon,tease,v1a,class1,1
spionn,animate,v1a,class1,1
spíosraigh,spice,v2a,class9,2
spladhsáil,splice,v1c,class3,1
splanc,flash,v1a,class1,1
spléach,glance,v1a,class1,1
spleantráil,splinter,v1c,class3,1
splíotáil,kill,v1c,class3,1
spoch,castrate,v1a,class1,1
spól,cut into joints,v1a,class1,1
spóláil,spool,v1c,class3,1
spor,spur,v1a,class1,1
spóraigh,sporulate,v2a,class9,2
spotáil,spot,v1c,class3,1
spotseiceáil,spot-check,v1c,class3,1
spraeáil,spray,v1c,class3,1
spraethriomaigh,spray-dry,v2a,class9,2
spréach,spark,v1a,class1,1
spreachallaigh,spatter,v2a,class9,2
spreag,urge,v1a,class1,1
spréigh,spread,v1e,class6,1
sprioc,stake,v1a,class1,1
spriocearcaigh,headhunt,v2a,class9,2
spriongaigh,spring,v2a,class9,2
spriúch,kick,v1a,class1,1
spruigeáil,sprig,v1c,class3,1
sprúill,crumble,v1b,class2,1
spudáil,spud,v1c,class3,1
spúinseáil,sponge,v1c,class3,1
srac,pull,v1a,class1,1
sraithrannaigh,ordinate,v2a,class9,2
sram,become blear,v1a,class1,1
srann,snore,v1a,class1,1
sraoill,flog,v1b,class2,1
sraon,pull,v1a,class1,1
srathaigh,serialize,v2a,class9,2
srathnaigh,spread,v2a,class9,2
srathraigh,straddle,v2a,class9,2
sreabh,stream,v1a,class1,1
sreabhánaigh,fluidize,v2a,class9,2
sreang,drag,v1a,class1,1
sreangaigh,wire,v2a,class9,2
sreangtharraing,wiredraw,v2e,class13,2
srian,bridle,v1a,class1,1
sroich,reach,v1b,class2,1
sruthaigh,stream,v2a,class9,2
sruthlaigh,rinse,v2a,class9,2
sruthlinigh,streamline,v2b,class10,2
stácáil,stalk,v1c,class3,1
stad,stop,v1a,class1,1
stáirseáil,starch,v1c,class3,1
stáitsigh,stage,v2b,class10,2
stálaigh,stale,v2a,class9,2
stalc,set,v1a,class1,1
stampáil,stamp,v1c,class3,1
stán,stare,v1a,class1,1
stánaigh,tin,v2a,class9,2
stánáil,beat,v1c,class3,1
stang,dowel; bend,v1a,class1,1
stánphlátáil,tin-plate,v1c,class3,1
staon,stop,v1a,class1,1
stápláil,staple,v1c,class3,1
stéagaigh,season,v2a,class9,2
steall,splash,v1a,class1,1
steanc,squirt,v1a,class1,1
steiréitiopáil,stereotype,v1c,class3,1
steiriligh,sterilize,v2b,class10,2
stiall,rend,v1a,class1,1
stibhneáil,push,v1c,class3,1
stíleáil,style,v1c,class3,1
stíligh,stylize,v2b,class10,2
stiogmataigh,stigmatize,v2a,class9,2
stionsalaigh,stencil,v2a,class9,2
stiúg,expire,v1a,class1,1
stiúir,steer,v1bx,class4,1
stobh,stew,v1a,class1,1
stoc-cham,stockpile,v1a,class1,1
stocáil,stock,v1c,class3,1
stócáil,stoke,v1c,class3,1
stocáirigh,stocktake,v2b,class10,2
stóinsigh,strengthen,v2b,class10,2
stoith,pluck,v1b,class2,1
stoithin,tousle,v2d,class12,2
stoll,tear,v1a,class1,1
stolp,harden,v1a,class1,1
stop,stop,v1a,class1,1
stóráil,store,v1c,class3,1
straeáil,go astray,v1c,class3,1
straidhneáil,strain,v1c,class3,1
straidhpeáil,divide in strips,v1c,class3,1
straitéisigh,strategize,v2b,class10,2
strapáil,strap,v1c,class3,1
streachail,pull,v2c,class11,2
streachlaigh,tear,v2a,class9,2
stricealaigh,striclde,v2a,class9,2
strioc,strike,v1a,class1,1
stróic,tear,v1b,class2,1
stroighnigh,cement,v2b,class10,2
stromp,stiffen,v1a,class1,1
struchtúraigh,structure,v2a,class9,2
struipeáil,strip,v1c,class3,1
strustuirsigh,fatigue,v2b,class10,2
stuáil,stow; arc,v1c,class3,1
stualáil,windrow,v1c,class3,1
stuamaigh,steady,v2a,class9,2
stuamhaidhm,arc-rupture,v1bx,class4,1
stuc,stook,v1a,class1,1
stumpáil,stump,v1c,class3,1
suaimhnigh,quiet,v2b,class10,2
suaith,mix,v1b,class2,1
suaithnigh,indicate,v2b,class10,2
suanaigh,hibemate,v2a,class9,2
suanbhruith,simmer,v1b,class2,1
suaraigh,demean,v2a,class9,2
substain,subsist,v1b,class2,1
suibscríobh,subscribe,v1a,class1,1
suigh,sit,v1h,class8,1
súigh,absorb,v1d,class5,1
suimeáil,integrate,v1c,class3,1
suimigh,add,v2b,class10,2
suimintigh,cement,v2b,class10,2
suíomhaigh,localize,v2a,class9,2
súisteáil,flail,v1c,class3,1
suiteáil,instaU,v1c,class3,1
sulfáitigh,sulphate,v2b,class10,2
suncáil,sink,v1c,class3,1
súparáil,superimpose,v1c,class3,1
súraic,suck,v2e,class13,2
surfáil,surf,v1c,class3,1
svaidhpeáil,swipe,v1c,class3,1
tabhaigh,eam,v2a,class9,2
tabhair,give,v3,irregular,3
táblaigh,tabulate,v2a,class9,2
tacaigh,support,v2a,class9,2
tacáil,tack,v1c,class3,1
tacair,glean,v2c,class11,2
tacht,choke,v1a,class1,1
tácláil,tackle,v1c,class3,1
tadhaill,contact,v2c,class11,2
tagair,refer,v2c,class11,2
tagarmharcáil,benchmark,v1c,class3,1
taibhigh,perform,v2b,class10,2
taibhléirigh,perform,v2b,class10,2
taibhrigh,dream,v2b,class10,2
taibhsigh,loom,v2b,class10,2
taicleáil,tackle,v1c,class3,1
taifead,record,v1a,class1,1
taifigh,analyze,v2b,class10,2
taighid,research,v1fs,class2,1
taimeáil,nail,v1c,class3,1
taimgir,foretell,v2d,class12,2
táinsigh,reproach,v2b,class10,2
táir,demean,v1b,class2,1
tairbhigh,benefit,v2b,class10,2
tairg,offer,v1b,class2,1
táirg,produce,v1b,class2,1
taisc,store,v1b,class2,1
taiscéal,explore,v1a,class1,1
taisigh,moisten,v2b,class10,2
taisligh,deliquesce,v2b,class10,2
taispeáin,show,v1bx,class4,1
taisrigh,moisten,v2b,class10,2
taistealáii,hackle,v1c,class3,1
taistil,travel,v2f,class13,2
taithigh,frequent,v2b,class10,2
taitin,shine,v2d,class12,2
tál,yield,v1a,class1,1
talmhaigh,dig in,v2a,class9,2
tamaigh,tammy,v2a,class9,2
támáil,make sluggish,v1c,class3,1
támhaigh,sedate,v2a,class9,2
tanaigh,thin,v2a,class9,2
tanalaigh,tanalize,v2a,class9,2
taobhaigh,approach,v2a,class9,2
taobhrian,offset,v1a,class1,1
taom,bail,v1a,class1,1
taosaigh,paste,v2a,class9,2
taosc,bail out,v1a,class1,1
tapaigh,quicken,v2a,class9,2
tapáil,tap,v1c,class3,1
tar,come,v3,irregular,3
taraimsigh,overshoot,v2b,class10,2
tarathraigh,bore with auger,v2a,class9,2
tarcaisnigh,scorn,v2b,class10,2
tarchéimnigh,transcend,v2b,class10,2
tarchuir,remit,v1b,class2,1
tarfhuaigh,overcast,v1d,class5,1
targhabh,skip,v1a,class1,1
tarlaigh,happen,v2ax,class9,2
tarluigh,onlap,v1h,class8,1
tarmchas,turn over,v1a,class1,1
tarmharaigh,residualize,v2a,class9,2
tarmlig,delegate,v1b,class2,1
tarráil,tar,v1c,class3,1
tarraing,pull,v2e,class13,2
tarramhacadamaigh,tarmacadam,v2a,class9,2
tarrtháil,rescue,v1c,class3,1
tarscaoil,waive,v1b,class2,1
tarshreabh,flow past,v1a,class1,1
tascar,intercept,v1a,class1,1
tástáil,test,v1c,class3,1
tathagaigh,aggregate,v2a,class9,2
táthaigh,weld,v2a,class9,2
tathantaigh,urge,v2a,class9,2
tatuáil,tattoo,v1c,class3,1
teacht,hold,v1a,class1,1
téacht,freeze,v1a,class1,1
téacsáil,text,v1c,class3,1
téacschomharthaigh,tokenize,v2a,class9,2
teagasc,teach,v1a,class1,1
teaglamaigh,collect,v2a,class9,2
teagmhaigh,chance,v2a,class9,2
téaltaigh,creep,v2a,class9,2
téamaigh,escape,v2a,class9,2
téana,come,v5,defective,5
teangaigh,tongue,v2a,class9,2
teanglaigh,joggle,v2a,class9,2
teann,tighten,v1a,class1,1
teanntaigh,corner,v2a,class9,2
teanntraigh,horse up,v2a,class9,2
tearcaigh,decrease,v2a,class9,2
tearcdhiagnóisigh,underdiagnose,v2b,class10,2
tearcmhaoinigh,underfund,v2b,class10,2
tearmannaigh,harbor,v2a,class9,2
teasairg,save,v1bx,class4,1
teasc,lop,v1a,class1,1
teascógaigh,sector,v2a,class9,2
teasdion,insulate,v1a,class1,1
teastaigh,need,v2a,class9,2
teibigh,abstract,v2b,class10,2
téigh,go,v3,irregular,3
teiléacsaigh,telex,v2a,class9,2
teileapórtáil,teleport,v1c,class3,1
teilg,cast,v1b,class2,1
teilgthaicleáil,spear-tackle,v1c,class3,1
teilifísigh,televise,v2b,class10,2
teiliméadráil,telemeter,v1c,class3,1
teimhligh,darken,v2b,class10,2
teip,fail,v1b,class2,1
téipeáil,tape,v1c,class3,1
teiripigh,therap,v2b,class10,2
teirmigh,thermize,v2b,class10,2
teirminsligh,thermal-insulate,v2b,class10,2
teisiligh,tessellate,v2b,class10,2
teisteáil,test,v1c,class3,1
teistigh,depose,v2b,class10,2
teith,flee,v1b,class2,1
teobhlaistigh,devil,v2b,class10,2
teodheataigh,hot-smoke,v2a,class9,2
teorannaigh,delimit,v2a,class9,2
teormharcáil,delimit,v1c,class3,1
teoshéalaigh,iron on,v2a,class9,2
teoshreangaigh,hot-wire,v2a,class9,2
teostampáil,hot-stamp,v1c,class3,1
tiáil,tee,v1c,class3,1
ticeáil,tick,v1c,class3,1
tíligh,tile,v2b,class10,2
timfhill,wrap,v1b,class2,1
timpeallghearr,circumcise,v1a,class1,1
tinneasnaigh,hasten,v2a,class9,2
tinnigh,make sore,v2b,class10,2
tíolaic,bestow,v1bx,class4,1
tiomain,curse,v1fx,Class15,1
tiomáin,drive,v1b,class2,1
tiomairg,bring together,v1bx,class4,1
tiomnaigh,bequeath,v2a,class9,2
tiompáil,thump,v1c,class3,1
tiomsaigh,gather up,v2a,class9,2
tionlaic,accompany,v1bx,class4,1
tionóU,convene,v1bx,class4,1
tionscain,begin,v2c,class11,2
tionsclaigh,industrialize,v2a,class9,2
tiontaigh,turn,v2a,class9,2
tionúraigh,tenon,v2a,class9,2
tíopáil,type,v1c,class3,1
tíor,parch,v1a,class1,1
tipéacsáU,tippex out,v1c,class3,1
tírdhreachtaigh,landscape,v2a,class9,2
tirimfhrioch,dry-fry,v1a,class1,1
tit,fall,v1b,class2,1
tiubhaigh,thicken,v2a,class9,2
tiúin,tune,v1bx,class4,1
tláthaigh,allay,v2a,class9,2
tlúáil,ripple,v1c,class3,1
tnáith,wear down,v1b,class2,1
tnúth,envy,v1a,class1,1
tobchlis,crash,v1b,class2,1
tobchum,improvise,v1a,class1,1
tobmheas,subitize,v1a,class1,1
tobscoir,abort,v1b,class2,1
tóch,dig,v1a,class1,1
tochail,dig,v2c,class11,2
tochais,scratch,v1bx,class4,1
tochrais,wind,v1b,class2,1
tochsail,distrain,v2c,class11,2
tóg,take,v1a,class1,1
togair,desire,v2c,class11,2
togh,choose,v1a,class1,1
toghair,call,v1b,class2,1
toibhigh,levy,v2b,class10,2
toiligh,will,v2b,class10,2
toill,fit,v1b,class2,1
toimhdigh,think,v2b,class10,2
tointeáil,shuttle,v1c,class3,1
toirbhir,hand over,v2d,class12,2
toirchigh,fecundate,v2b,class10,2
tóirfhiontraigh,wildcat,v2a,class9,2
toirmisc,prohibit,v1bx,class4,1
toirtmheasc,titrate,v1a,class1,1
toisigh,dimension,v2b,class10,2
toitrigh,smoké,v2b,class10,2
tolg,attack,v1a,class1,1
toll,bore,v1a,class1,1
tollánaigh,tunnel,v2a,class9,2
tomáil,tack,v1c,class3,1
tomhail,consume,v2c,class11,2
tomhais,measure,v1b,class2,1
tonach,wash,v1a,class1,1
tonaigh,tone,v2a,class9,2
tónáil,tone,v1c,class3,1
tonn,billow,v1a,class1,1
tonnchrith,vibrate,v1b,class2,1
tóraigh,pursue,v2a,class9,2
torc,torque,v1a,class1,1
tórraigh,wake,v2a,class9,2
torthaigh,fruit,v2a,class9,2
tosaigh,begin,v2a,class9,2
tosáil,toss,v1c,class3,1
tost,become silent,v1a,class1,1
tóstáil,toast,v1c,class3,1
tothlaigh,desire,v2a,class9,2
trácht,travel; mention,v1a,class1,1
tráchtálaigh,commercialize,v2a,class9,2
tráchtearraigh,commodify,v2a,class9,2
trádáil,trade,v1c,class3,1
trádmhalartaigh,trade off,v2a,class9,2
traenáil,train,v1c,class3,1
traetáil,treat,v1c,class3,1
traibhleáil,travel,v1c,class3,1
traiceáil,track,v1c,class3,1
tráigh,ebb,v1d,class5,1
trampáil,tramp,v1c,class3,1
traoch,overcome,v1a,class1,1
traoith,abate,v1b,class2,1
traost,lay low,v1a,class1,1
tras-chlóscríobh,transtype,v1a,class1,1
trasbhreac,crossplot,v1a,class1,1
traschuir,transfer,v1b,class2,1
trascríobh,transcribe,v1a,class1,1
traseol,transmit,v1a,class1,1
trasfhoirmigh,transform,v2b,class10,2
trasghalaigh,transpire,v2a,class9,2
trasghluais,translocate,v1b,class2,1
traslitrigh,transliterate,v2b,class10,2
trasnaigh,cross,v2a,class9,2
trasnáil,traverse,v1c,class3,1
trasnánaigh,diagonalize,v2a,class9,2
trasphlandaigh,transplant,v2a,class9,2
trasuigh,transpose,v1h,class8,1
trátháil,take advantage of,v1c,class3,1
tráthchláraigh,timetable,v2a,class9,2
treabh,plow,v1a,class1,1
treaghd,pierce,v1a,class1,1
treáigh,pierce,v1d,class5,1
trealmhaigh,fit out,v2a,class9,2
treamhnaigh,curdle,v2a,class9,2
tréanchosain,stonewall,v2c,class11,2
tréanphlanc,slam-dunk,v1a,class1,1
treapáin,trepan,v1bx,class4,1
treascair,vanquish,v2c,class11,2
tréaslaigh,congratulate,v2a,class9,2
trébhliantaigh,perennate,v2a,class9,2
tréghalaigh,transpire,v2a,class9,2
tréig,abandon,v1b,class2,1
treisigh,strengthen,v2b,class10,2
tréithrigh,characterize,v2b,class10,2
tréleath,profuse,v1a,class1,1
treoraigh,guide,v2a,class9,2
treoráil,sight,v1c,class3,1
treoshuigh,orientate,v1h,class8,1
tréthál,transude,v1a,class1,1
triail,try,v1b,class2,1
triailrith,bum in,v1b,class2,1
triáiseáil,triage,v1c,class3,1
triall,joumey,v1a,class1,1
triantánaigh,triangulate,v2a,class9,2
trilseánaigh,plait,v2a,class9,2
trilsigh,braid,v2b,class10,2
trimeáil,trim,v1c,class3,1
trinseáil,trench,v1c,class3,1
trinsigh,incise,v2b,class10,2
triomaigh,dry,v2a,class9,2
triosc,interrupt,v1a,class1,1
tripsinigh,trypsinize,v2b,class10,2
tríroinn,trisect,v1b,class2,1
trochlaigh,break down,v2a,class9,2
troid,fight,v1b,class2,1
troisc,fast,v1b,class2,1
troitheánaigh,pedal,v2a,class9,2
trolláil,troll,v1c,class3,1
tromaigh,become heavier,v2a,class9,2
truaigh,emaciate,v1d,class5,1
truaillmheasc,adulterate,v1a,class1,1
truaiUigh,corrupt,v2b,class10,2
truicear,trigger,v1a,class1,1
trúig,cause,v1b,class2,1
truipeáil,trip,v1c,class3,1
truncáil,pack,v1c,class3,1
trusád,truss,v1c,class3,1
trust,trust,v1a,class1,1
tuaigh,chop,v1d,class5,1
tuáil,tow,v1c,class3,1
tuairgneáU,bombard,v1c,class3,1
tuairimigh,opine,v2b,class10,2
tuairiscigh,report,v2b,class10,2
tuairteáú,pound,v1c,class3,1
tuar,augur; bleach,v1a,class1,1
tuargain,pound,v2c,class11,2
tuaslaig,solve,v1bx,class4,1
tuasláitigh,solvate,v2b,class10,2
tuathaigh,laicize,v2a,class9,2
tuig,understand,v1b,class2,1
tuill,eam,v1b,class2,1
tuímigh,imbed,v2b,class10,2
tuirling,descend,v2e,class13,2
tuirsigh,tire,v2b,class10,2
túisigh,incense,v2b,class10,2
tuisligh,stumble,v2b,class10,2
tuismigh,beget,v2b,class10,2
tultit,prolapse,v1b,class2,1
tum,dip,v1a,class1,1
túnpeallaigh,go round,v2a,class9,2
tursáil,truss,v1c,class3,1
túsaigh,initialize,v2a,class9,2
túschan,intone,v1a,class1,1
tuil,flood,v1b,class2,1
tuilsoilsigh,floodlight,v2b,class10,2
tvuíteáil,tweet,v1c,class3,1
uachtaigh,will,v2a,class9,2
uachtaraigh,cream,v2a,class9,2
uaim,unite,v1bx,class4,1
uainigh,altemate,v2b,class10,2
uaisligh,ennoble,v2b,class10,2
ualaigh,load,v2a,class9,2
uamhnaigh,frighten,v2a,class9,2
uasaigh,sublimate,v2a,class9,2
uaschéimnigh,step up,v2b,class10,2
uasdátaigh,update,v2a,class9,2
uasfhreang,unwarp,v1a,class1,1
uasghrádaigh,upgrade,v2a,class9,2
uaslódáil,upload,v1c,class3,1
uasmharcáil,mark up,v1c,class3,1
uasmhéadaigh,maximize,v2a,class9,2
uath-athshlánaigh,autorecover,v2a,class9,2
uathcheartaigh,autocorrect,v2a,class9,2
uathfholaigh,autohide,v2a,class9,2
uathfhormáidigh,autoformat,v2b,class10,2
uathfhuaimnigh,cipher,v2b,class10,2
uathinnéacsaigh,autoindex,v2a,class9,2
uathoibrigh,automate,v2b,class10,2
